127.0.0.1 - - [23/Jan/2019:11:18:51 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:18:52 +0900] "GET /ShoppingSite/index.jsp HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:18:52 +0900] "GET /ShoppingSite/Images/jQuery_image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:18:52 +0900] "GET /ShoppingSite/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:18:52 +0900] "GET /ShoppingSite/Images/jQuery_image2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:18:52 +0900] "GET /ShoppingSite/Images/jQuery_image3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:18:52 +0900] "GET /ShoppingSite/Images/jQuery_image4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:18:52 +0900] "GET /ShoppingSite/Images/jQuery_image5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:18:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:19:02 +0900] "GET /ShoppingSite/mergeSortView.jsp HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:19:12 +0900] "GET /ShoppingSite/sortView.jsp HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:19:20 +0900] "GET /ShoppingSite/sortView.jsp HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:19:27 +0900] "GET /ShoppingSite/JavaScript/sortView.jsp HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [23/Jan/2019:11:19:33 +0900] "GET /ShoppingSite/JavaScript/sortView.jsp HTTP/1.1" 404 1091
