127.0.0.1 - - [13/Feb/2019:09:57:36 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:37 +0900] "GET /ShoppingSite/GoHomeAction.action HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:37 +0900] "GET /ShoppingSite/style.css HTTP/1.1" 200 11012
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:37 +0900] "GET /ShoppingSite/Images/jQuery_image1.jpg HTTP/1.1" 200 128703
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:37 +0900] "GET /ShoppingSite/Images/jQuery_image2.jpg HTTP/1.1" 200 296077
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:37 +0900] "GET /ShoppingSite/Images/jQuery_image3.jpg HTTP/1.1" 200 102513
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:37 +0900] "GET /ShoppingSite/Images/jQuery_image4.jpg HTTP/1.1" 200 103241
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:37 +0900] "GET /ShoppingSite/Images/jQuery_image5.jpg HTTP/1.1" 200 172833
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:55 +0900] "GET /ShoppingSite/ItemListAction.action;jsessionid=AFE91622BD9B11FDDF85839D2C7635AE HTTP/1.1" 200 4667
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:55 +0900] "GET /ShoppingSite/Images/ItemImages/2/1.jpg HTTP/1.1" 200 86621
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:55 +0900] "GET /ShoppingSite/Images/ItemImages/1/1.jpg HTTP/1.1" 200 11746
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:55 +0900] "GET /ShoppingSite/Images/ItemImages/4/1.jpg HTTP/1.1" 200 6603
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:55 +0900] "GET /ShoppingSite/Images/ItemImages/5/1.jpg HTTP/1.1" 200 6004
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:55 +0900] "GET /ShoppingSite/Images/ItemImages/6/1.jpg HTTP/1.1" 200 24047
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:57:55 +0900] "GET /ShoppingSite/Images/ItemImages/3/1.jpg HTTP/1.1" 200 73138
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:58:13 +0900] "GET /ShoppingSite/ItemPageAction.action?id=6 HTTP/1.1" 200 4251
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:58:32 +0900] "GET /ShoppingSite/SellerAction.action?id=4 HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:58:41 +0900] "GET /ShoppingSite/GoMergeSortAction.action HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:58:41 +0900] "GET /ShoppingSite/JavaScript/mergeSortView.js HTTP/1.1" 200 10950
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:58:59 +0900] "GET /ShoppingSite/GoLoginAction.action HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:59:01 +0900] "GET /ShoppingSite/StartGoogleOAuthAction.action?url=GoogleLoginAction.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:59:10 +0900] "GET /ShoppingSite/GoogleLoginAction.action?state=6ffa7952bb81b5d9d83ecaeb963ed576f1ac7042dcd09c1aacb05ad480dba7bd&code=4/7wDXRbhhHKh82dgQ99Udk1IrI4Fng3UaNRn3ZIGED8pgUfMNvVtxShahV6ay7xhxvsFv7MAQ-HCSeTqnMJt7OEw&scope=profile%20https://www.googleapis.com/auth/gmail.readonly%20https://www.googleapis.com/auth/userinfo.profile HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:59:13 +0900] "GET /ShoppingSite/GoUserPageAction.action HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:59:14 +0900] "GET /ShoppingSite/ItemListAction.action HTTP/1.1" 200 5021
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:59:16 +0900] "GET /ShoppingSite/LogoutAction.action HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:59:17 +0900] "GET /ShoppingSite/GoLoginAction.action HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:59:23 +0900] "POST /ShoppingSite/LoginAction HTTP/1.1" 200 2273
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:59:24 +0900] "GET /ShoppingSite/ItemListAction.action HTTP/1.1" 200 7990
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:59:27 +0900] "GET /ShoppingSite/GoSalesDataAction.action?item_id=1 HTTP/1.1" 200 2674
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:59:27 +0900] "GET /ShoppingSite/JavaScript/d3.js HTTP/1.1" 200 4301
0:0:0:0:0:0:0:1 - - [13/Feb/2019:09:59:27 +0900] "GET /ShoppingSite/ItemSalesAction.action?item_id=1 HTTP/1.1" 200 1390
